parentTag,ovName,description,type,primaryKey,sourceName,sourceType,sourceAttribute,uniqueItems
,distributionPolicy,Distribution Policy,array,,,,,True
,fundSFDCId,Fund Id,string,False,Salesforce Data Dictionary,Service,FM_fund.Fund_id_c,
,fundName,Fund Name,string,True,Salesforce Data Dictionary,Service,FM_fund.Fund_Legal_Name,
,dealingTerms,dealing Terms,object,,,,,
dealingTerms,redemptionAdvanceNoticedays,redemption Advance Noticedays,number,False,Salesforce Data Dictionary,Service,FM_fund.redemptionAdvanceNoticedays,
dealingTerms,redemptionAdvanceNoticeDayOfMonth,redemption Advance Notice DayOfMonth,string,False,Salesforce Data Dictionary,Service,FM_fund.redemptionAdvanceNoticeDayOfMonth,
